Mortara comune,Mortara comune.1
Città di Mortara,Città di Mortara
,
Mortara – VedutaLa basilica di San Lorenzo Martire,Mortara – VedutaLa basilica di San Lorenzo Martire
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Giorgio Franco Zanzi (Commissario prefettizio)
Territorio,Territorio
Coordinate,45°15′N 8°45′E
Altitudine,101 m s.l.m.
Superficie,"51,97 km²"
Abitanti,15 876[1] (30-11-2025)
Densità,"305,48 ab./km²"
Frazioni,"Casoni di Sant'Albino, Cattanea-Casoni dei Peri, Guallina, Madonna Del Campo, Medaglia, Molino Faenza"
Comuni confinanti,"Albonese, Castello d'Agogna, Ceretto Lomellina, Cergnago, Gambolò, Nicorvo, Olevano di Lomellina, Parona, Tromello, Vigevano"
Altre informazioni,Altre informazioni
Cod. postale,27036
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018102
Cod. catastale,F754
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 641 GG[3]"
Nome abitanti,mortaresi
Patrono,"san Lorenzo Martire, santa Veneranda"
Giorno festivo,10 agosto
Cartografia,Cartografia
Mortara,Mortara
Mortara – MappaPosizione del comune di Mortara nella provincia di Pavia,Mortara – MappaPosizione del comune di Mortara nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
