Santa Giuletta comune,Santa Giuletta comune.1
,
Santa Giuletta – VedutaLa parte orientale di Santa Giuletta dopo una delle nevicate del 2009,Santa Giuletta – VedutaLa parte orientale di Santa Giuletta dopo una delle nevicate del 2009
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Simona Dacarro (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°02′17.31″N 9°11′26.39″E
Altitudine,78 m s.l.m.
Superficie,"11,59 km²"
Abitanti,1 584[1] (30-11-2025)
Densità,"136,67 ab./km²"
Frazioni,"Castello, Manzo, Monteceresino, Orto, Pizzolo"
Comuni confinanti,"Barbianello, Mornico Losana, Pietra de' Giorgi, Pinarolo Po, Redavalle, Robecco Pavese, Torricella Verzate"
Altre informazioni,Altre informazioni
Cod. postale,27046
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018140
Cod. catastale,I203
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,santagiulettesi
Patrono,san Colombano
Giorno festivo,24 novembre
Cartografia,Cartografia
Santa Giuletta,Santa Giuletta
Santa Giuletta – MappaPosizione del comune di Santa Giuletta nella provincia di Pavia,Santa Giuletta – MappaPosizione del comune di Santa Giuletta nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
