Redavalle comune,Redavalle comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Raffaella Anelli
Territorio,Territorio
Coordinate,45°02′52″N 9°12′25.6″E
Altitudine,85 m s.l.m.
Superficie,"5,42 km²"
Abitanti,1 047[1] (30-11-2025)
Densità,"193,17 ab./km²"
Frazioni,"Calcababbio, Casa Ramati"
Comuni confinanti,"Barbianello, Broni, Pietra de' Giorgi, Santa Giuletta"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018120
Cod. catastale,H216
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,redavallesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Redavalle,Redavalle
Redavalle – MappaPosizione del comune di Redavalle nella provincia di Pavia,Redavalle – MappaPosizione del comune di Redavalle nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
