Castelseprio comune,Castelseprio comune.1
,
Castelseprio – VedutaLa chiesa di Santa Maria foris portas,Castelseprio – VedutaLa chiesa di Santa Maria foris portas
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Silvano Martelozzo (lista Sepriese - Insieme possiamo) dal 27-5-2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°42′49.39″N 8°51′41.8″E
Altitudine,310 m s.l.m.
Superficie,"3,75 km²"
Abitanti,1 333[2] (30-11-2025)
Densità,"355,47 ab./km²"
Frazioni,"Castel Seprio (scavi), Vico Seprio"
Comuni confinanti,"Cairate, Carnago, Gornate-Olona, Lonate Ceppino"
Altre informazioni,Altre informazioni
Cod. postale,21050
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012044
Cod. catastale,C273
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 572 GG[4]"
Nome abitanti,"sepriesi, vicosepriesi"
Cartografia,Cartografia
Castelseprio,Castelseprio
Castelseprio – MappaPosizione del comune di Castelseprio nella provincia di Varese,Castelseprio – MappaPosizione del comune di Castelseprio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
