Sumirago comune,Sumirago comune.1
,
Sumirago – VedutaL'ex municipio di Sumirago,Sumirago – VedutaL'ex municipio di Sumirago
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Yvonne Beccegato (Cittadini per Sumirago[1]) dal 12-06-2022
Territorio,Territorio
Coordinate,45°44′21.48″N 8°46′50.88″E
Altitudine,392 m s.l.m.
Superficie,"11,75 km²"
Abitanti,5 978[2] (30-11-2025)
Densità,"508,77 ab./km²"
Frazioni,"Albusciago, Caidate, Menzago, Quinzano San Pietro"
Sottodivisioni ulteriori,"Fornace, Palazzina e Laghetto"
Comuni confinanti,"Albizzate, Azzate, Besnate, Brunello, Castronno, Crosio della Valle, Jerago con Orago, Mornago"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012124
Cod. catastale,L003
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 685 GG[4]"
Nome abitanti,sumiraghesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Sumirago,Sumirago
Sumirago – MappaPosizione del comune di Sumirago nella provincia di Varese,Sumirago – MappaPosizione del comune di Sumirago nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
