Cugliate-Fabiasco comune,Cugliate-Fabiasco comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,"Angelo Filippini (lista civica Il paese che si rinnova) dal 05-06-2016, 1º mandato"
Territorio,Territorio
Coordinate,45°56′51.72″N 8°49′17.76″E
Altitudine,516 m s.l.m.
Superficie,"6,54 km²"
Abitanti,3 117[1] (30-11-2025)
Densità,"476,61 ab./km²"
Frazioni,Fabiasco
Comuni confinanti,"Cadegliano Viconago, Cremenaga, Cuasso al Monte, Cunardo, Grantola, Marchirolo, Montegrino Valtravaglia, Valganna"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012059
Cod. catastale,D199
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 759 GG[3]"
Nome abitanti,cugliatesi
Patrono,San Giulio
Giorno festivo,31 gennaio
Cartografia,Cartografia
Cugliate-Fabiasco,Cugliate-Fabiasco
Cugliate-Fabiasco – MappaPosizione del comune di Cugliate-Fabiasco nella provincia di Varese,Cugliate-Fabiasco – MappaPosizione del comune di Cugliate-Fabiasco nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
