Barasso comune,Barasso comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Lorenzo Di Renzo Scolari (lista civica La voce di Barasso) dal 4-10-2021
Territorio,Territorio
Coordinate,45°50′25.44″N 8°45′23.04″E
Altitudine,401 m s.l.m.
Superficie,"3,92 km²"
Abitanti,1 686[1] (30-11-2025)
Densità,"430,1 ab./km²"
Frazioni,"Cassini, Molina"
Comuni confinanti,"Casciago, Castello Cabiaglio, Comerio, Cuvio, Gavirate, Luvinate"
Altre informazioni,Altre informazioni
Cod. postale,21020
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012008
Cod. catastale,A619
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 679 GG[3]"
Nome abitanti,barassesi
Patrono,san Martino
Giorno festivo,11 novembre
Motto,Aequitate et iustitia
Cartografia,Cartografia
Barasso,Barasso
Barasso – MappaPosizione del comune di Barasso nella provincia di Varese,Barasso – MappaPosizione del comune di Barasso nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
