Marciano della Chiana comune,Marciano della Chiana comune.1
,
Marciano della Chiana – Veduta,Marciano della Chiana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Maria De Palma (lista civica Insieme per il bene comune) dal 09-06-2024
Territorio,Territorio
Coordinate,43°18′21″N 11°47′15″E
Altitudine,320 m s.l.m.
Superficie,"23,75 km²"
Abitanti,3 509[1] (30-11-2025)
Densità,"147,75 ab./km²"
Frazioni,"Badicorte, Cesa, San Giovanni dei Mori"
Comuni confinanti,"Arezzo, Castiglion Fiorentino, Foiano della Chiana, Lucignano, Monte San Savino"
Altre informazioni,Altre informazioni
Cod. postale,52047
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051022
Cod. catastale,E933
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 124 GG[3]"
Nome abitanti,marcianesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Marciano della Chiana,Marciano della Chiana
Marciano della Chiana – MappaPosizione del comune di Marciano della Chiana all'interno della provincia di Arezzo,Marciano della Chiana – MappaPosizione del comune di Marciano della Chiana all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
