Terranuova Bracciolini comune,Terranuova Bracciolini comune.1
,
Terranuova Bracciolini – Veduta,Terranuova Bracciolini – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Sergio Chienni (PD) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°33′11″N 11°35′22″E
Altitudine,156 m s.l.m.
Superficie,"85,88 km²"
Abitanti,12 140[1] (30-11-2025)
Densità,"141,36 ab./km²"
Frazioni,"Campogialli, Castiglione Ubertini, Cicogna, Comugni, Malva, Montemarciano, Monticello, Penna, Persignano, Piantravigne, Santa Maria, Tasso, Traiana, Treggiaia, Ville, Ville Madrigale"
Comuni confinanti,"Castelfranco Piandiscò, Castiglion Fibocchi, Laterina Pergine Valdarno, Loro Ciuffenna, Montevarchi, San Giovanni Valdarno"
Altre informazioni,Altre informazioni
Cod. postale,52028
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,051039
Cod. catastale,L123
Targa,AR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 971 GG[3]"
Nome abitanti,terranuovesi
Patrono,sant'Antonio da Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Terranuova Bracciolini,Terranuova Bracciolini
Terranuova Bracciolini – MappaPosizione del comune di Terranuova Bracciolini all'interno della provincia di Arezzo,Terranuova Bracciolini – MappaPosizione del comune di Terranuova Bracciolini all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
