Latina comune,Latina comune.1
,
Latina – Veduta,Latina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Matilde Celentano (FdI) dal 17-5-2023
Data di istituzione,18 dicembre 1932 (come Littoria)
Territorio,Territorio
Coordinate,41°28′02″N 12°54′13″E
Altitudine,21 m s.l.m.
Superficie,"277,62 km²"
Abitanti,127 519[1] (30-11-2025)
Densità,"459,33 ab./km²"
Frazioni,Elenco
Comuni confinanti,"Aprilia, Cisterna di Latina, Nettuno (RM), Pontinia, Sabaudia, Sermoneta, Sezze"
Altre informazioni,Altre informazioni
Cod. postale,"04100, 04013, 04010"
Prefisso,0773
Fuso orario,UTC+1
Codice ISTAT,059011
Cod. catastale,E472
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona C, 1 220 GG[3]"
Nome abitanti,latinensi o pontini (littoriani fino al 1944 e latiniani dal 1944 al 1946)
Patrono,"san Marco evangelista, santa Maria Goretti"
Giorno festivo,"25 aprile, 6 luglio"
Motto,(LA) Latina olim palus (Latina un tempo era palude)
Cartografia,Cartografia
Latina,Latina
Latina – MappaPosizione del comune di Latina nell'omonima provincia,Latina – MappaPosizione del comune di Latina nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
