Maenza comune,Maenza comune.1
,
Maenza – VedutaCastello baronale,Maenza – VedutaCastello baronale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Loreto Polidoro (lista civica Agenda per Maenza) dal 9-6-2024
Territorio,Territorio
Coordinate,41°31′N 13°11′E
Altitudine,358 m s.l.m.
Superficie,"42,13 km²"
Abitanti,2 959[1] (30-11-2025)
Densità,"70,23 ab./km²"
Frazioni,"Farneto, Monte Acuto"
Comuni confinanti,"Carpineto Romano (RM), Giuliano di Roma (FR), Priverno, Prossedi, Roccagorga, Supino (FR)"
Altre informazioni,Altre informazioni
Cod. postale,04010
Prefisso,0773
Fuso orario,UTC+1
Codice ISTAT,059013
Cod. catastale,E798
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 733 GG[3]"
Nome abitanti,maentini (in italiano) o maenzani (in dialetto)
Patrono,sant'Eleuterio[4]
Giorno festivo,29 maggio
Cartografia,Cartografia
Maenza,Maenza
Maenza – MappaPosizione del comune di Maenza nella provincia di Latina,Maenza – MappaPosizione del comune di Maenza nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
