Crespino comune,Crespino comune.1
,
"Crespino – VedutaCrespino, la centrale Piazza Fetonte: sulla destra parte del Palazzo Comunale con il suo porticato, sulla sinistra la facciata barocca della chiesa arcipretale dei Santi Martino e Severo.","Crespino – VedutaCrespino, la centrale Piazza Fetonte: sulla destra parte del Palazzo Comunale con il suo porticato, sulla sinistra la facciata barocca della chiesa arcipretale dei Santi Martino e Severo."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Rovigo
Amministrazione,Amministrazione
Sindaco,Angelo Malaspina (lista civica Orgoglio crespinese) dal 09-06-2024
Territorio,Territorio
Coordinate,44°59′N 11°53′E
Altitudine,3 m s.l.m.
Superficie,"31,86 km²"
Abitanti,1 779[1] (30-11-2025)
Densità,"55,84 ab./km²"
Frazioni,"San Cassiano (San Cassan), Selva (fino al 1815 Selva Fraresa, poi Selva 'd Crespin o più semplicemente La Selva) Località: Aguiaro (l'aguiaro), Arginello (l'arznell), Passetto (al passetto), Passodoppio (al passodopi), San Antonio (sant'Antoni)"
Comuni confinanti,"Ceregnano, Gavello, Guarda Veneta, Pontecchio Polesine, Riva del Po (FE), Rovigo, Villanova Marchesana"
Altre informazioni,Altre informazioni
Cod. postale,45030
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,029019
Cod. catastale,D161
Targa,RO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 406 GG[3]"
Nome abitanti,crespinesi
Cartografia,Cartografia
Crespino,Crespino
Crespino – MappaPosizione del comune di Crespino nella provincia di Rovigo,Crespino – MappaPosizione del comune di Crespino nella provincia di Rovigo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
