Ficarolo comune,Ficarolo comune.1
,
Ficarolo – VedutaVeduta di Ficarolo,Ficarolo – VedutaVeduta di Ficarolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Rovigo
Amministrazione,Amministrazione
Sindaco,Fabiano Pigaiani (lista civica) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,44°57′N 11°26′E
Altitudine,10 m s.l.m.
Superficie,"18,08 km²"
Abitanti,2 204[1] (30-11-2025)
Densità,"121,9 ab./km²"
Frazioni,"Vallicella, Vegri, Trento, Tontola"
Comuni confinanti,"Bagnolo di Po, Bondeno (FE), Ferrara (FE), Gaiba, Salara, Sermide e Felonica (MN)"
Altre informazioni,Altre informazioni
Cod. postale,45036
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,029021
Cod. catastale,D568
Targa,RO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 344 GG[3]"
Nome abitanti,ficarolesi
Patrono,sant'Antonino
Cartografia,Cartografia
Ficarolo,Ficarolo
Ficarolo – MappaPosizione del comune di Ficarolo nella provincia di Rovigo,Ficarolo – MappaPosizione del comune di Ficarolo nella provincia di Rovigo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
