Viadana comune,Viadana comune.1
,
Viadana – Veduta,Viadana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Nicola Cavatorta (Lega Nord) dal 5-10-2020
Territorio,Territorio
Coordinate,44°55′36″N 10°31′12″E
Altitudine,26 m s.l.m.
Superficie,"103,84 km²"
Abitanti,19 778[1] (30-11-2025)
Densità,"190,47 ab./km²"
Frazioni,"Banzuolo, Bellaguarda, Bocca Bassa, Buzzoletto, Casaletto, Cavallara, Cicognara, Cizzolo, Cogozzo, Sabbioni, Salina, San Matteo delle Chiaviche, Squarzanella[2]"
Comuni confinanti,"Boretto (RE), Borgo Virgilio, Brescello (RE), Casalmaggiore (CR), Commessaggio, Dosolo, Gazzuolo, Marcaria, Motteggiana, Pomponesco, Sabbioneta, Sorbolo Mezzani (PR), Suzzara"
Altre informazioni,Altre informazioni
Cod. postale,46019
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,020066
Cod. catastale,L826
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 435 GG[4]"
Nome abitanti,viadanesi
Patrono,san Nicola da Tolentino
Giorno festivo,10 settembre
Cartografia,Cartografia
Viadana,Viadana
Viadana – MappaPosizione del comune di Viadana nella provincia di Mantova,Viadana – MappaPosizione del comune di Viadana nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
