Poggio Rusco comune,Poggio Rusco comune.1
,
"Poggio Rusco – VedutaScorcio del centro storico di Poggio Rusco nel maggio 2013, dopo le opere di messa in sicurezza in seguito al terremoto del 2012","Poggio Rusco – VedutaScorcio del centro storico di Poggio Rusco nel maggio 2013, dopo le opere di messa in sicurezza in seguito al terremoto del 2012"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Fabio Zacchi (lista civica Per Poggio progetto civico) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,44°58′39″N 11°07′09″E
Altitudine,16 m s.l.m.
Superficie,"42,29 km²"
Abitanti,6 265[1] (30-11-2025)
Densità,"148,14 ab./km²"
Frazioni,"Dragoncello, Quattrocase, Segonda, Stoppiaro[2]"
Comuni confinanti,"Magnacavallo, Mirandola (MO), San Giovanni del Dosso, Sermide e Felonica, Borgo Mantovano"
Altre informazioni,Altre informazioni
Cod. postale,46025
Prefisso,0386
Fuso orario,UTC+1
Codice ISTAT,020042
Cod. catastale,G753
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 355 GG[4]"
Nome abitanti,poggesi
Patrono,SS. Nome di Maria
Giorno festivo,31 maggio
Cartografia,Cartografia
Poggio Rusco,Poggio Rusco
Poggio Rusco – MappaPosizione del comune di Poggio Rusco nella provincia di Mantova,Poggio Rusco – MappaPosizione del comune di Poggio Rusco nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
