Ceresara comune,Ceresara comune.1
,
Ceresara – Veduta,Ceresara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Francesco Guarneri[1] (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,45°15′44.21″N 10°34′10.49″E
Altitudine,44 m s.l.m.
Superficie,"37,31 km²"
Abitanti,2 469[2] (30-11-2025)
Densità,"66,18 ab./km²"
Frazioni,"Possenta, San Lazzaro, San Martino Gusnago, Tezze, Villa Cappella, Guado, Solarolo"
Comuni confinanti,"Casaloldo, Castel Goffredo, Gazoldo degli Ippoliti, Goito, Guidizzolo, Medole, Piubega, Rodigo"
Altre informazioni,Altre informazioni
Cod. postale,46040
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020019
Cod. catastale,C502
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 428 GG[4]"
Nome abitanti,ceresaresi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Ceresara,Ceresara
Ceresara – MappaPosizione del comune di Ceresara nella provincia di Mantova,Ceresara – MappaPosizione del comune di Ceresara nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
