Salle comune,Salle comune.1
,
Salle – Veduta,Salle – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Davide Morante (lista civica di centro-sinistra) dal 26-5-2019
Territorio,Territorio
Coordinate,42°10′37.34″N 13°57′34.52″E
Altitudine,470 m s.l.m.
Superficie,"21,8 km²"
Abitanti,250[1] (30-11-2025)
Densità,"11,47 ab./km²"
Frazioni,Salle Vecchia
Comuni confinanti,"Tocco da Casauria, Bolognano, Caramanico Terme, Corfinio (AQ), Pratola Peligna (AQ), Roccacasale (AQ), Sulmona (AQ), Tocco da Casauria"
Altre informazioni,Altre informazioni
Cod. postale,65020
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068036
Cod. catastale,H715
Targa,PE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 949 GG[3]"
Nome abitanti,sallesi
Patrono,Beato Roberto
Giorno festivo,18 luglio
PIL,"(nominale) 3,9 mln €[4]"
PIL procapite,(nominale) 13 867 €[4]
Cartografia,Cartografia
Salle,Salle
Salle – MappaPosizione del comune di Salle all'interno della provincia di Pescara,Salle – MappaPosizione del comune di Salle all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
