Città Sant'Angelo comune,Città Sant'Angelo comune.1
,
Città Sant'Angelo – Veduta,Città Sant'Angelo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Matteo Perazzetti (lista civica di centro-destra) dal 27-5-2019
Territorio,Territorio
Coordinate,42°31′N 14°03′E
Altitudine,320 m s.l.m.
Superficie,"62,02 km²"
Abitanti,14 928[1] (30-11-2025)
Densità,"240,7 ab./km²"
Frazioni,"Alzano, Annunziata, Centro Storico, Crocifisso, Fagnano, Fonte Umano, Gaglierano, Maddalena, Madonna della Pace, Marina di Città Sant'Angelo, Piano della Cona, Piano di Sacco, Ponticelli, Sant'Agnese, San Giacomo, San Martino, San Pietro, San Rocco, San Vittorito, Sorricchio, Sorripe, Vertonica, Villa Cipressi."
Comuni confinanti,"Atri (TE), Cappelle sul Tavo, Collecorvino, Elice, Montesilvano, Silvi (TE)"
Altre informazioni,Altre informazioni
Cod. postale,65013
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068012
Cod. catastale,C750
Targa,PE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 748 GG[3]"
Nome abitanti,angolani
Patrono,san Michele Arcangelo
Giorno festivo,lunedì dopo la terza domenica di settembre
PIL,"(nominale) 265,7 mln € (2021)[4]"
PIL procapite,"(nominale) 17 951,6 € (2021)[4]"
Cartografia,Cartografia
Città Sant'Angelo,Città Sant'Angelo
Città Sant'Angelo – MappaPosizione del comune di Città Sant'Angelo all'interno della provincia di Pescara,Città Sant'Angelo – MappaPosizione del comune di Città Sant'Angelo all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
