Pescara comune,Pescara comune.1
,
Pescara – VedutaVeduta notturna sul porto canale con la dorsale appenninica sullo sfondo,Pescara – VedutaVeduta notturna sul porto canale con la dorsale appenninica sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Carlo Masci (FI) dal 10-6-2019 (2º mandato dal 2-7-2024)
Data di istituzione,4 maggio 1811[1][2]
Territorio,Territorio
Coordinate,42°27′51.4″N 14°12′51.08″E
Altitudine,4 m s.l.m.
Superficie,"33,95[3] km²"
Abitanti,118 578[4] (30-11-2025)
Densità,"3 492,72 ab./km²"
Frazioni,San Silvestro
Comuni confinanti,"Chieti (CH), Francavilla al Mare (CH), Montesilvano, San Giovanni Teatino (CH), Spoltore"
Altre informazioni,Altre informazioni
Cod. postale,da 65121 a 65129
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068028
Cod. catastale,G482
Targa,PE
Cl. sismica,zona 2 (sismicità media)[5]
Cl. climatica,"zona D, 1 718 GG[6]"
Nome abitanti,"pescaresi, aternini"
Patrono,Cetteo di Amiterno
Giorno festivo,10 ottobre
PIL,"(nominale) 2 547,6 mln € (2021)[7]"
PIL procapite,"(nominale) 21 411,5 € (2021)[7]"
Soprannome,Città dannunziana
Motto,"(LA) Hæc est Civitas Aterni Porta Aprutii et Sera Regni ""Questa è la città di Aterno, porta degli Abruzzi e confine del regno"""
Cartografia,Cartografia
Pescara,Pescara
Pescara – MappaPosizione del comune di Pescara all'interno dell'omonima provincia,Pescara – MappaPosizione del comune di Pescara all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
