Carbonia comune,Carbonia comune.1
,
"Carbonia – VedutaVista della città da monte Leone, con sullo sfondo alcuni rilievi collinari sulla sinistra e l'isola di Sant'Antioco sulla destra","Carbonia – VedutaVista della città da monte Leone, con sullo sfondo alcuni rilievi collinari sulla sinistra e l'isola di Sant'Antioco sulla destra"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Sulcis Iglesiente
Amministrazione,Amministrazione
Sindaco,Pietro Morittu (PD) dall'11-10-2021
Data di istituzione,5 novembre 1937[1]
Territorio,Territorio
Coordinate,39°10′00.49″N 8°31′19.05″E
Altitudine,111 m s.l.m.
Superficie,"145,54 km²"
Abitanti,25 400[2] (30-11-2025)
Densità,"174,52 ab./km²"
Frazioni,"Bacu Abis, Barbusi, Barega, Corongiu, Tanì (le ultime tre condivise con il comune di Iglesias), Cortoghiana, Is Gannaus, Serbariu, Flumentepido, Sirri"
Comuni confinanti,"Gonnesa, Iglesias, Narcao, Perdaxius, Portoscuso, San Giovanni Suergiu, Tratalias"
Altre informazioni,Altre informazioni
Cod. postale,09013
Prefisso,0781
Fuso orario,UTC+1
Codice ISTAT,111009
Cod. catastale,B745
Targa,CI
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona C, 922 GG[4]"
Nome abitanti,"carboniensi, carboniesi"
Patrono,san Ponziano
Giorno festivo,giovedì successivo alla seconda domenica di maggio
Cartografia,Cartografia
Carbonia,Carbonia
Carbonia – MappaPosizione del comune di Carbonia nella provincia del Sulcis-Iglesiente,Carbonia – MappaPosizione del comune di Carbonia nella provincia del Sulcis-Iglesiente
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
