Villaperuccio comune,Villaperuccio comune.1
(IT) Villaperuccio (SC) Sa Baronìa,(IT) Villaperuccio (SC) Sa Baronìa
,
Villaperuccio – VedutaL'abitato visto dalla SP 79,Villaperuccio – VedutaL'abitato visto dalla SP 79
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Sulcis Iglesiente
Amministrazione,Amministrazione
Sindaco,Marcellino Piras (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°06′42.47″N 8°40′12.9″E
Altitudine,68 m s.l.m.
Superficie,"36,43 km²"
Abitanti,1 007[1] (30-11-2025)
Densità,"27,64 ab./km²"
Frazioni,"Is Cotzas, Is Faddas, Is Grazias, Is Pintus, Is Pireddas, Matta S'Olia, Terrazzu."
Comuni confinanti,"Narcao, Nuxis, Perdaxius, Piscinas, Santadi, Tratalias"
Altre informazioni,Altre informazioni
Cod. postale,09010
Prefisso,0781
Fuso orario,UTC+1
Codice ISTAT,111102
Cod. catastale,M278
Targa,CI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) villaperuccesi (SC) baroniesus
Patrono,Beata Vergine del Rosario
Cartografia,Cartografia
Villaperuccio,Villaperuccio
Villaperuccio – MappaPosizione del comune di Villaperuccio nella provincia del Sulcis-Iglesiente,Villaperuccio – MappaPosizione del comune di Villaperuccio nella provincia del Sulcis-Iglesiente
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
