Lisciano Niccone comune,Lisciano Niccone comune.1
,
Lisciano Niccone – Veduta,Lisciano Niccone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Gianluca Moscioni (lista civica di centro-sinistra Unità democratica riformista) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°14′47.64″N 12°08′35.78″E
Altitudine,314 m s.l.m.
Superficie,"35,18 km²"
Abitanti,606[1] (30-11-2025)
Densità,"17,23 ab./km²"
Frazioni,"San Martino, Pian di Marte-Crocicchie Gosparini Reschio"
Comuni confinanti,"Cortona (AR), Passignano sul Trasimeno, Tuoro sul Trasimeno, Umbertide"
Altre informazioni,Altre informazioni
Cod. postale,06060
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054025
Cod. catastale,E613
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 109 GG[3]"
Nome abitanti,liscianesi
Patrono,san Benedetto da Norcia
Giorno festivo,21 marzo
Cartografia,Cartografia
Lisciano Niccone,Lisciano Niccone
Lisciano Niccone – MappaPosizione del comune di Lisciano Niccone all'interno della provincia di Perugia,Lisciano Niccone – MappaPosizione del comune di Lisciano Niccone all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
