Potenza Picena comune,Potenza Picena comune.1
,
Potenza Picena – Veduta,Potenza Picena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Macerata
Amministrazione,Amministrazione
Sindaco,Noemi Tartabini (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°21′58.5″N 13°37′13.22″E
Altitudine,237 m s.l.m.
Superficie,"48,55 km²"
Abitanti,15 458[1] (30-11-2025)
Densità,"318,39 ab./km²"
Frazioni,"Casette Antonelli, Casette Torresi, Montecanepino, Pamperduto, Porto Potenza Picena, Riva Verde, San Girio"
Comuni confinanti,"Civitanova Marche, Montecosaro, Montelupone, Porto Recanati, Recanati"
Altre informazioni,Altre informazioni
Cod. postale,62018
Prefisso,0733
Fuso orario,UTC+1
Codice ISTAT,043043
Cod. catastale,F632
Targa,MC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 917 GG[3]"
Nome abitanti,"potentini, santesi"
Patrono,san Girio
Giorno festivo,25 maggio
Cartografia,Cartografia
Potenza Picena,Potenza Picena
Potenza Picena – MappaPosizione del comune di Potenza Picena nella provincia di Macerata,Potenza Picena – MappaPosizione del comune di Potenza Picena nella provincia di Macerata
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
