Villa Minozzo comune,Villa Minozzo comune.1
,
Villa Minozzo – Veduta,Villa Minozzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Reggio Emilia
Amministrazione,Amministrazione
Sindaco,Elio Ivo Sassi (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°22′N 10°27′E
Altitudine,684 m s.l.m.
Superficie,"168,08 km²"
Abitanti,3 497[1] (30-11-2025)
Densità,"20,81 ab./km²"
Frazioni,"Appenninia[2][3][4], Asta, Bedogno, Bore, Braglie, Budriotto, Ca' dell'Onestà, Cadignano, Calizzo, Campolungo, Campomagnano, Capedro, Carniana, Carù, Case Andreino, Case Bagatti, Case Bondi, Case Balocchi, Case Ferrari, Case Guidarini, Case Pelati, Case Rossi, Case Stantini, Case Zobbi, Castellaro, Castiglione, Cerrè Sologno, Cervarolo, Civago, Coccarello, Coriano, Costabona, Costalta, Costa Minozzo, Febbio, Deusi, Gacciola, Garfagno, Gazzano, Gova, Governara, Lame Piane, La Rocca, La Romita, Lusignana, Meruzzo, Minozzo, Molino di Tromba, Montefelecchio, Monteorsaro, Morsiano, Novellano, Pietrachetta, Poiano, Primaore, Razzolo, Rescadore, Riparotonda, Roncopianigi, San Bartolomeo, Santonio, Secchio, Secchio Sopra, Secchio Sotto, Sologno, Sonareto, Sorba, Strinati, Tizzola, Triglia, Valbucciana, Villa"
Comuni confinanti,"Carpineti, Castelnovo ne' Monti, Castiglione di Garfagnana (LU), Frassinoro (MO), Sillano Giuncugnano (LU), Toano, Ventasso, Villa Collemandina (LU)"
Altre informazioni,Altre informazioni
Cod. postale,42030
Prefisso,0522
Fuso orario,UTC+1
Codice ISTAT,035045
Cod. catastale,L969
Targa,RE
Cl. sismica,zona 2 (sismicità media)[5]
Cl. climatica,"zona F, 3 153 GG[6]"
Nome abitanti,villaminozzesi
Patrono,Santi Quirico e Giulitta
Giorno festivo,16 Giugno
Cartografia,Cartografia
Villa Minozzo,Villa Minozzo
Villa Minozzo – MappaPosizione del comune di Villa Minozzo nella provincia di Reggio Emilia,Villa Minozzo – MappaPosizione del comune di Villa Minozzo nella provincia di Reggio Emilia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
