Casole d'Elsa comune,Casole d'Elsa comune.1
,
Casole d'Elsa – Veduta,Casole d'Elsa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Andrea Pieragnoli (lista civica Pensare comune) dal 27-5-2019
Territorio,Territorio
Coordinate,43°20′28″N 11°02′54.6″E
Altitudine,417 m s.l.m.
Superficie,"148,69 km²"
Abitanti,3 664[1] (30-11-2025)
Densità,"24,64 ab./km²"
Frazioni,"Cavallano, Mensano, Monteguidi, Pievescola"
Comuni confinanti,"Castelnuovo di Val di Cecina (PI), Chiusdino, Colle di Val d'Elsa, Monteriggioni, Pomarance (PI), Radicondoli, Sovicille, Volterra (PI)"
Altre informazioni,Altre informazioni
Cod. postale,53031
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052004
Cod. catastale,B984
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 105 GG[3]"
Nome abitanti,casolesi[4]; casolani (antico)[4]
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Casole d'Elsa,Casole d'Elsa
Casole d'Elsa – MappaPosizione del comune di Casole d'Elsa all'interno della provincia di Siena,Casole d'Elsa – MappaPosizione del comune di Casole d'Elsa all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
