San Gimignano comune,San Gimignano comune.1
,
San Gimignano – VedutaPanorama,San Gimignano – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Andrea Marrucci (centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°28′03.79″N 11°02′35.6″E
Altitudine,324 m s.l.m.
Superficie,"138,6 km²"
Abitanti,7 461[1] (30-11-2025)
Densità,"53,83 ab./km²"
Frazioni,"Badia a Elmi, Castel San Gimignano, Pancole, San Donato, Santa Lucia, Ulignano"
Comuni confinanti,"Barberino Tavarnelle (FI), Certaldo (FI), Colle di Val d'Elsa, Gambassi Terme (FI), Poggibonsi, Volterra (PI)"
Altre informazioni,Altre informazioni
Cod. postale,53037; 53030 (Castel San Gimignano)
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052028
Cod. catastale,H875
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 085 GG[3]"
Nome abitanti,valdelsani[4]; sangimignanesi[5]
Patrono,"san Geminiano, santa Fina"
Giorno festivo,"31 gennaio, 12 marzo"
Cartografia,Cartografia
San Gimignano,San Gimignano
San Gimignano – MappaPosizione del comune di San Gimignano all'interno della provincia di Siena,San Gimignano – MappaPosizione del comune di San Gimignano all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
