Radicofani comune,Radicofani comune.1
,
Radicofani – Veduta,Radicofani – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,"Francesco Fabbrizzi (centro-sinistra, lista civica - Oltre per Radicofani e Contignano) dal 26-5-2014 (2º mandato dal 27-5-2019)"
Territorio,Territorio
Coordinate,42°54′N 11°46′E
Altitudine,814 m s.l.m.
Superficie,"118,1 km²"
Abitanti,1 021[1] (30-11-2025)
Densità,"8,65 ab./km²"
Frazioni,Contignano
Comuni confinanti,"Abbadia San Salvatore, Castiglione d'Orcia, Pienza, San Casciano dei Bagni, Sarteano"
Altre informazioni,Altre informazioni
Cod. postale,53040
Prefisso,0578
Fuso orario,UTC+1
Codice ISTAT,052024
Cod. catastale,H156
Targa,SI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 648 GG[3]"
Nome abitanti,radicofanesi[4]
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Radicofani,Radicofani
Radicofani – MappaPosizione del comune di Radicofani all'interno della provincia di Siena,Radicofani – MappaPosizione del comune di Radicofani all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
