Lula comune,Lula comune.1
"(IT) Lula (SC) Lùvula, Lùgula","(IT) Lula (SC) Lùvula, Lùgula"
,
Lula – Veduta,Lula – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Nuoro
Amministrazione,Amministrazione
Sindaco,Mario Calia (lista civica) dall'11-6-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,40°28′12.71″N 9°29′10.24″E
Altitudine,521 m s.l.m.
Superficie,"148,72 km²"
Abitanti,1 200[1] (30-11-2025)
Densità,"8,07 ab./km²"
Comuni confinanti,"Bitti, Dorgali, Galtellì, Irgoli, Loculi, Lodè, Onanì, Orune, Siniscola"
Altre informazioni,Altre informazioni
Cod. postale,08020
Prefisso,0784
Fuso orario,UTC+1
Codice ISTAT,091043
Cod. catastale,E736
Targa,NU
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,"(IT) lulesi (SC) luvulesos, lugulesos"
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Lula,Lula
Lula – MappaPosizione del comune di Lula all'interno della provincia di Nuoro,Lula – MappaPosizione del comune di Lula all'interno della provincia di Nuoro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
