Maretto comune,Maretto comune.1
,
Maretto – VedutaVeduta del paese,Maretto – VedutaVeduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Roberto Palma (lista civica Maretto rinasce) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°56′45″N 8°02′07″E
Altitudine,240 m s.l.m.
Superficie,"4,93 km²"
Abitanti,371[1] (30-11-2025)
Densità,"75,25 ab./km²"
Frazioni,"Barbone, Melona, Nicoline, Serra Campia, Serra Goria, Simonetti, Val Cerreto"
Comuni confinanti,"Cortandone, Cortazzone, Monale, Roatto, Villafranca d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14018
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005062
Cod. catastale,E944
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 684 GG[3]"
Nome abitanti,marettesi
Patrono,Madonna del Carmine e san Michele
Giorno festivo,ultima domenica di luglio
Cartografia,Cartografia
Maretto,Maretto
Maretto – MappaMappa di localizzazione del comune di Maretto nella provincia di Asti,Maretto – MappaMappa di localizzazione del comune di Maretto nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
