Canelli comune,Canelli comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Canelli – VedutaPanorama,Canelli – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Roberta Giovine (lista civica di centro-sinistra Insieme per Canelli) dal 10-6-2024
Territorio,Territorio
Coordinate,44°43′15.02″N 8°17′34.15″E
Altitudine,157 m s.l.m.
Superficie,"23,43 km²"
Abitanti,10 014[1] (30-11-2025)
Densità,"427,4 ab./km²"
Frazioni,"Sant'Antonio, Merlini, Santa Libera, Ceirole, Serra Masio, Braglia, Stazione, Fello, Secco, San Giovanni, Dota"
Comuni confinanti,"Bubbio, Calamandrana, Calosso, Cassinasco, Loazzolo, Moasca, San Marzano Oliveto, Santo Stefano Belbo (CN)"
Altre informazioni,Altre informazioni
Cod. postale,14053
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005017
Cod. catastale,B594
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 540 GG[3]"
Nome abitanti,canellesi
Patrono,san Tommaso apostolo
Giorno festivo,21 dicembre
Cartografia,Cartografia
Canelli,Canelli
Canelli – MappaLocalizzazione del comune nella provincia di Asti,Canelli – MappaLocalizzazione del comune nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
