Montaldo Scarampi comune,Montaldo Scarampi comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Stefano Marchetti (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,44°49′53″N 8°15′36″E
Altitudine,258 m s.l.m.
Superficie,"6,63 km²"
Abitanti,710[1] (30-11-2025)
Densità,"107,09 ab./km²"
Frazioni,"Forni, Sant'Antonio"
Comuni confinanti,"Mombercelli, Montegrosso d'Asti, Rocca d'Arazzo"
Altre informazioni,Altre informazioni
Cod. postale,14048
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005074
Cod. catastale,F409
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 699 GG[3]"
Nome abitanti,montaldesi
Patrono,san Ponziano
Giorno festivo,19 novembre
Cartografia,Cartografia
Montaldo Scarampi,Montaldo Scarampi
Montaldo Scarampi – MappaMappa di localizzazione del comune di Montaldo Scarampi nella provincia di Asti,Montaldo Scarampi – MappaMappa di localizzazione del comune di Montaldo Scarampi nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
