San Severino Lucano comune,San Severino Lucano comune.1
,
San Severino Lucano – VedutaPanorama con la chiesa di Santa Maria degli Angeli,San Severino Lucano – VedutaPanorama con la chiesa di Santa Maria degli Angeli
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Giuseppe Ciminelli (lista civica La Primavera) dal 10-6-2024
Territorio,Territorio
Coordinate,40°01′N 16°08′E
Altitudine,877 m s.l.m.
Superficie,"61,16 km²"
Abitanti,1 315[1] (30-11-2025)
Densità,"21,5 ab./km²"
Frazioni,"Mezzana, Cropani, Mancini, Villaneto"
Comuni confinanti,"Chiaromonte, Episcopia, Fardella, Francavilla in Sinni, Terranova di Pollino, Viggianello"
Altre informazioni,Altre informazioni
Cod. postale,85030
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076078
Cod. catastale,I157
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 504 GG[3]"
Nome abitanti,sanseverinesi
Patrono,san Vincenzo Ferrer
Giorno festivo,seconda domenica di luglio
Cartografia,Cartografia
San Severino Lucano,San Severino Lucano
San Severino Lucano – MappaPosizione del comune di San Severino Lucano all'interno della provincia di Potenza,San Severino Lucano – MappaPosizione del comune di San Severino Lucano all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
