Castelluccio Inferiore comune,Castelluccio Inferiore comune.1
,
Castelluccio Inferiore – Veduta,Castelluccio Inferiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Paolo Francesco Campanella (lista civica Castelluccio in comune continua) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,40°00′N 15°59′E
Altitudine,495 m s.l.m.
Superficie,"28,96 km²"
Abitanti,1 855[1] (30-11-2025)
Densità,"64,05 ab./km²"
Frazioni,"Cerasia, Giuliantonio, Provenzano, Maccarrone"
Comuni confinanti,"Castelluccio Superiore, Laino Borgo (CS), Latronico, Viggianello"
Altre informazioni,Altre informazioni
Cod. postale,85040
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076022
Cod. catastale,C199
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 809 GG[3]"
Nome abitanti,castelluccesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Castelluccio Inferiore,Castelluccio Inferiore
Castelluccio Inferiore – MappaPosizione del comune di Castelluccio Inferiore all'interno della provincia di Potenza,Castelluccio Inferiore – MappaPosizione del comune di Castelluccio Inferiore all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
