Centuripe comune,Centuripe comune.1
,
Centuripe – VedutaPanorama di Centuripe dal colle dell'Annunziata,Centuripe – VedutaPanorama di Centuripe dal colle dell'Annunziata
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Enna
Amministrazione,Amministrazione
Sindaco,Salvatore La Spina (RestiAmo a Centuripe) dal 6-10-2020
Territorio,Territorio
Coordinate,37°37′23.79″N 14°44′22.16″E
Altitudine,730 m s.l.m.
Superficie,"174,2 km²"
Abitanti,4 982[1] (30-11-2025)
Densità,"28,6 ab./km²"
Frazioni,Carcaci
Comuni confinanti,"Adrano (CT), Biancavilla (CT), Bronte (CT), Castel di Iudica (CT), Catenanuova, Paternò (CT), Randazzo (CT), Regalbuto"
Altre informazioni,Altre informazioni
Cod. postale,94010
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,086007
Cod. catastale,C471
Targa,EN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 769 GG[3]"
Nome abitanti,centuripini
Patrono,san Prospero[4]
Giorno festivo,19 settembre[4]
Cartografia,Cartografia
Centuripe,Centuripe
Centuripe – MappaPosizione del comune di Centuripe nel libero consorzio comunale di Enna,Centuripe – MappaPosizione del comune di Centuripe nel libero consorzio comunale di Enna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
