Peschiera del Garda comune,Peschiera del Garda comune.1
,
Peschiera del Garda – VedutaVeduta,Peschiera del Garda – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Maria Orietta Gaiulli (Forza Italia, eletta con lista civica) dal 26-5-2019 (2º mandato dal 10-6-2024)"
Territorio,Territorio
Coordinate,45°26′19″N 10°41′19″E
Altitudine,68 m s.l.m.
Superficie,"18,27 km²"
Abitanti,10 908[1] (30-11-2025)
Densità,"597,04 ab./km²"
Frazioni,"Broglie, Dolci, San Benedetto di Lugana[2]"
Comuni confinanti,"Castelnuovo del Garda, Valeggio sul Mincio, Ponti sul Mincio (MN), Desenzano del Garda (BS), Pozzolengo (BS), Sirmione (BS)"
Altre informazioni,Altre informazioni
Cod. postale,37019 e 37010
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023059
Cod. catastale,G489
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 381 GG[4]"
Nome abitanti,arilicensi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Peschiera del Garda,Peschiera del Garda
Peschiera del Garda – MappaPosizione del comune di Peschiera del Garda all'interno della provincia di Verona,Peschiera del Garda – MappaPosizione del comune di Peschiera del Garda all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
