Veronella comune,Veronella comune.1
,
Veronella – VedutaChiesa parrocchiale di San Giovanni Battista in Veronella,Veronella – VedutaChiesa parrocchiale di San Giovanni Battista in Veronella
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Matteo Cavallon (lista civica ""Costruiamo il futuro - Matteo Cavallon Sindaco"") dal 10-6-2024"
Territorio,Territorio
Coordinate,45°19′23″N 11°19′28″E
Altitudine,21 m s.l.m.
Superficie,"20,88 km²"
Abitanti,5 183[1] (30-11-2025)
Densità,"248,23 ab./km²"
Frazioni,"Miega, San Gregorio[2]"
Comuni confinanti,"Albaredo d'Adige, Arcole, Belfiore, Bonavigo, Cologna Veneta, Minerbe, Pressana, Zimella"
Altre informazioni,Altre informazioni
Cod. postale,37040
Prefisso,0442
Fuso orario,UTC+1
Codice ISTAT,023092
Cod. catastale,D193
Targa,VR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 427 GG[4]"
Nome abitanti,veronellesi
Giorno festivo,18 luglio
Cartografia,Cartografia
Veronella,Veronella
Veronella – MappaPosizione del comune di Veronella all'interno della provincia di Verona,Veronella – MappaPosizione del comune di Veronella all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
