Brentino Belluno comune,Brentino Belluno comune.1
,
Brentino Belluno – VedutaVeduta,Brentino Belluno – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,"Massimo Zanga (lista civica ""La meta"") dal 10-6-2024"
Territorio,Territorio
Coordinate,45°39′40.03″N 10°53′37.07″E
Altitudine,137 m s.l.m.
Superficie,"25,99 km²"
Abitanti,1 367[1] (30-11-2025)
Densità,"52,6 ab./km²"
Frazioni,"Belluno Veronese, Brentino, Preabocco, Rivalta (sede comunale)[2]"
Comuni confinanti,"Avio (TN), Caprino Veronese, Dolcè, Ferrara di Monte Baldo, Rivoli Veronese"
Altre informazioni,Altre informazioni
Cod. postale,37020
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023013
Cod. catastale,B152
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 520 GG[4]"
Nome abitanti,brentinesi
Patrono,"san Giovanni Battista a Belluno, san Giacomo il Maggiore a Rivalta"
Giorno festivo,"24 giugno, 25 luglio"
Cartografia,Cartografia
Brentino Belluno,Brentino Belluno
Brentino Belluno – MappaPosizione del comune di Brentino Belluno all'interno della provincia di Verona,Brentino Belluno – MappaPosizione del comune di Brentino Belluno all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
