Caldiero comune,Caldiero comune.1
,
Caldiero – Veduta,Caldiero – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Verona
Amministrazione,Amministrazione
Sindaco,Marcello Lovato (lista civica Al centro Caldiero) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°24′13.22″N 11°10′31.65″E
Altitudine,44 m s.l.m.
Superficie,"10,37 km²"
Abitanti,8 162[1] (30-11-2025)
Densità,"787,08 ab./km²"
Frazioni,"Caldierino Località: Bagni, Bambare, Ca' Nova, Ca' Rizzi, Gardenia, Gombion, Sant'Antonio, San Pieretto, Strà, Vago di Caldiero[2]"
Comuni confinanti,"Belfiore, Colognola ai Colli, Lavagno, San Martino Buon Albergo, Zevio"
Altre informazioni,Altre informazioni
Cod. postale,"37042, 37040"
Prefisso,045
Fuso orario,UTC+1
Codice ISTAT,023017
Cod. catastale,B402
Targa,VR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 369 GG[4]"
Nome abitanti,caldieresi
Giorno festivo,28 febbraio
Cartografia,Cartografia
Caldiero,Caldiero
Caldiero – MappaPosizione del comune di Caldiero all'interno della provincia di Verona,Caldiero – MappaPosizione del comune di Caldiero all'interno della provincia di Verona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
