Nimis comune,Nimis comune.1
(IT) Nimis (FUR) Nimis[1],(IT) Nimis (FUR) Nimis[1]
,
Nimis – VedutaLa pieve arcipretale dei Santi Gervasio e Protasio,Nimis – VedutaLa pieve arcipretale dei Santi Gervasio e Protasio
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Fabrizio Mattiuzza (lista civica) dal 15-04-2025
Territorio,Territorio
Coordinate,46°12′01″N 13°15′54″E
Altitudine,207 m s.l.m.
Superficie,"33,9 km²"
Abitanti,2 633[2] (30-11-2025)
Densità,"77,67 ab./km²"
Frazioni,"Cergneu, Chialminis, Monteprato, Nongruella, Pecolle, Ramandolo, Tamar, Torlano, Vallemontana,Borgo Vigant"
Comuni confinanti,"Attimis, Lusevera, Povoletto, Reana del Rojale, Taipana, Tarcento"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano, sloveno"
Cod. postale,33045
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030065
Cod. catastale,F898
Targa,UD
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 787 GG[4]"
Nome abitanti,nimiensi
Patrono,santi Gervasio e Protasio
Giorno festivo,19 giugno
Cartografia,Cartografia
Nimis,Nimis
Nimis – MappaPosizione del comune di Nimis nella ex provincia di Udine,Nimis – MappaPosizione del comune di Nimis nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
