Resiutta comune,Resiutta comune.1
(IT) Resiutta (FUR) Resiute [1],(IT) Resiutta (FUR) Resiute [1]
,
Resiutta – VedutaLa sede del municipio,Resiutta – VedutaLa sede del municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Francesco Nesich (lista civica) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,46°22′25.38″N 13°13′52.56″E
Altitudine,316 m s.l.m.
Superficie,"20,36 km²"
Abitanti,268[2] (30-11-2025)
Densità,"13,16 ab./km²"
Frazioni,"Borgo Cros, Rauni, Povici di Sopra, Povici di Sotto"
Comuni confinanti,"Chiusaforte, Moggio Udinese, Resia, Venzone"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33010
Prefisso,0433
Fuso orario,UTC+1
Codice ISTAT,030093
Cod. catastale,H244
Targa,UD
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 014 GG[4]"
Nome abitanti,resiuttani
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Resiutta,Resiutta
Resiutta – MappaPosizione del comune di Resiutta nella ex provincia di Udine,Resiutta – MappaPosizione del comune di Resiutta nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
