Pontebba comune,Pontebba comune.1
(IT) Pontebba (FUR) Pontêbe [1],(IT) Pontebba (FUR) Pontêbe [1]
,
Pontebba – VedutaVeduta di Pontebba con la pieve di Santa Maria maggiore,Pontebba – VedutaVeduta di Pontebba con la pieve di Santa Maria maggiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Ivan Buzzi (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°30′23.51″N 13°18′23.13″E
Altitudine,568 m s.l.m.
Superficie,"99,66 km²"
Abitanti,1 299[2] (30-11-2025)
Densità,"13,03 ab./km²"
Frazioni,"Aupa, Loc. Casali Costa, Loc. Casali Graben, Loc. Frattis, Loc. Gamischen, Passo di Pramollo, Loc. Piani, Pietratagliata, San Leopoldo, Studena Alta, Studena Bassa"
Comuni confinanti,"Dogna, Hermagor-Pressegger See (AT-2), Malborghetto-Valbruna, Moggio Udinese"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano, tedesco, sloveno"
Cod. postale,33016
Prefisso,0428
Fuso orario,UTC+1
Codice ISTAT,030076
Cod. catastale,G831
Targa,UD
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 627 GG[4]"
Nome abitanti,pontebbani
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Pontebba,Pontebba
Pontebba – MappaPosizione del comune di Pontebba nella ex provincia di Udine,Pontebba – MappaPosizione del comune di Pontebba nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
