Moggio Udinese comune,Moggio Udinese comune.1
(IT) Moggio Udinese (FUR) Mueç[1],(IT) Moggio Udinese (FUR) Mueç[1]
,
Moggio Udinese – VedutaL'abbazia di San Gallo dal ponte sul Fella,Moggio Udinese – VedutaL'abbazia di San Gallo dal ponte sul Fella
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Martina Gallizia (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,46°24′34.93″N 13°11′42.51″E
Altitudine,341 m s.l.m.
Superficie,"142,44 km²"
Abitanti,1 592[2] (30-11-2025)
Densità,"11,18 ab./km²"
Frazioni,"Bevorchians, Campiolo, Dordolla, Grauzaria, Moggessa, Monticello, Ovedasso, Pradis-Chiaranda, Stavoli"
Comuni confinanti,"Amaro, Arta Terme, Chiusaforte, Dogna, Hermagor-Pressegger See (AT-2), Paularo, Pontebba, Resiutta, Tolmezzo, Venzone"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33015
Prefisso,0433
Fuso orario,UTC+1
Codice ISTAT,030059
Cod. catastale,F266
Targa,UD
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 060 GG[4]"
Nome abitanti,moggesi
Patrono,san Gallo
Giorno festivo,19 marzo
Cartografia,Cartografia
Moggio Udinese,Moggio Udinese
Moggio Udinese – MappaPosizione del comune di Moggio Udinese nella ex provincia di Udine,Moggio Udinese – MappaPosizione del comune di Moggio Udinese nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
