Italia,Italia.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Italia - LocalizzazioneL'Italia (verde scuro) nell'Unione europea (verde chiaro),Italia - LocalizzazioneL'Italia (verde scuro) nell'Unione europea (verde chiaro)
Dati amministrativi,Dati amministrativi
Nome completo,Repubblica italiana
Nome ufficiale,Repubblica italiana
Lingue ufficiali,italiano[1]
Altre lingue,"Bilinguismo a livello locale, vedi lista"
Capitale,Roma
Politica,Politica
Forma di governo,Repubblica parlamentare unitaria
Presidente della Repubblica,Sergio Mattarella
Presidente del Consiglio dei ministri,Giorgia Meloni
Indipendenza,17 marzo 1861 (Proclamazione del Regno d'Italia)[2]
Proclamazione,18 giugno 1946[3]
Ingresso nell'ONU,14 dicembre 1955
Ingresso nell'UE,25 marzo 1957 (membro fondatore)
Superficie,Superficie
Totale,"302 069,41 km² (72º)"
% delle acque,"2,4%"
Popolazione,Popolazione
Totale,58 943 464 ab. (1 gennaio 2025) (25º)
Densità,"195,22 ab./km² (39º)"
Nome degli abitanti,italiani
Geografia,Geografia
Continente,Europa[4]
Confini,"San Marino, Città del Vaticano, Francia, Svizzera, Austria e Slovenia"
Fuso orario,UTC+1UTC+2 (ora legale)
Economia,Economia
Valuta,euro
PIL (nominale),2 459 597[5] milioni di $ (2025 stima) (8º)
PIL pro capite (nominale),40 287[5] $ (2024 stima) (26º)
PIL (PPA),3 600 000[5] milioni di $ (2024 stima) (11º)
PIL pro capite (PPA),60 993[5] $ (2024 stima) (29º)
ISU (2023),"0,915[6] (molto alto) (29º)"
Fecondità,"1,25 (2022)[7]"
Consumo energetico,"5013,3 kWh/ab. anno"
Varie,Varie
Codici ISO 3166,"IT, ITA, 380"
TLD,".it, .eu"
Prefisso tel.,+39[8]
Sigla autom.,I
Lato di guida,Destra (↓↑)
Inno nazionale,Il Canto degli Italiani
Festa nazionale,2 giugno
Italia - Mappa,Italia - Mappa
Evoluzione storica,Evoluzione storica
Stato precedente,Regno d'Italia
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
