Galatina comune,Galatina comune.1
,
Galatina – Veduta,Galatina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Fabio Vergine (lista civica Galatina di tutti) dal 27-6-2022
Territorio,Territorio
Coordinate,40°10′N 18°10′E
Altitudine,75 m s.l.m.
Superficie,"82,65 km²"
Abitanti,25 194[1] (30-11-2025)
Densità,"304,83 ab./km²"
Frazioni,"Collemeto, Noha, Santa Barbara, Aeroporto"
Comuni confinanti,"Aradeo, Copertino, Corigliano d'Otranto, Cutrofiano, Galatone, Lequile, Nardò, Seclì, Sogliano Cavour, Soleto"
Altre informazioni,Altre informazioni
Cod. postale,73013
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075029
Cod. catastale,D862
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 201 GG[3]"
Nome abitanti,galatinesi
Patrono,"san Pietro, san Paolo e Santa Maria della Luce"
Giorno festivo,"29 giugno (patroni), IV giovedì dopo Pasqua (compatrona)"
Cartografia,Cartografia
Galatina,Galatina
Galatina – MappaPosizione del comune di Galatina all'interno della provincia di Lecce,Galatina – MappaPosizione del comune di Galatina all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
