Bitonto comune,Bitonto comune.1
,
Bitonto – VedutaVeduta della concattedrale di Bitonto,Bitonto – VedutaVeduta della concattedrale di Bitonto
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Francesco Paolo Ricci (Indipendente di centro-sinistra) dal 13-6-2022
Territorio,Territorio
Coordinate,41°06′30″N 16°41′30″E
Altitudine,118 m s.l.m.
Superficie,"174,34 km²"
Abitanti,52 904[1] (30-11-2025)
Densità,"303,45 ab./km²"
Frazioni,"Mariotto, Palombaio"
Comuni confinanti,"Altamura, Bari, Binetto, Bitetto, Giovinazzo, Modugno, Palo del Colle, Ruvo di Puglia, Terlizzi, Toritto"
Altre informazioni,Altre informazioni
Cod. postale,70032
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072011
Cod. catastale,A893
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 350 GG[3]"
Nome abitanti,bitontini
Patrono,"Maria SS. Immacolata, san Gaetano Thiene, sant'Andrea Avellino (compatroni)"
Giorno festivo,26 maggio
Soprannome,La città degli ulivi
Motto,Ad Pacem Promptum Designat Oliva Botontum L'oliva designa Bitonto pronta alla pace
Cartografia,Cartografia
Bitonto,Bitonto
Bitonto – MappaPosizione del comune di Bitonto all'interno della città metropolitana di Bari,Bitonto – MappaPosizione del comune di Bitonto all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
