Isola del Cantone comune,Isola del Cantone comune.1
,
Isola del Cantone – VedutaPanorama di Isola del Cantone,Isola del Cantone – VedutaPanorama di Isola del Cantone
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Città metropolitana,Genova
Amministrazione,Amministrazione
Sindaco,Gian-Luca Campora (lista civica Per Isola Insieme) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°38′46.11″N 8°57′24.7″E
Altitudine,298 m s.l.m.
Superficie,"47,97 km²"
Abitanti,1 428[1] (30-11-2025)
Densità,"29,77 ab./km²"
Frazioni,"Borlasca, Creverina, Griffoglieto, Marmassana, Mereta, Montecanne, Montessoro, Pietrabissara, Prarolo, Vobbietta"
Comuni confinanti,"Arquata Scrivia (AL), Busalla, Grondona (AL), Mongiardino Ligure (AL), Roccaforte Ligure (AL), Ronco Scrivia, Vobbia, Voltaggio (AL)"
Altre informazioni,Altre informazioni
Cod. postale,16017
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,010027
Cod. catastale,E341
Targa,GE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 199 GG[3]"
Nome abitanti,isolesi
Patrono,santi Stefano e Innocenzo
Giorno festivo,seconda domenica di agosto
Cartografia,Cartografia
Isola del Cantone,Isola del Cantone
Isola del Cantone – MappaPosizione del comune di Isola del Cantone nella città metropolitana di Genova,Isola del Cantone – MappaPosizione del comune di Isola del Cantone nella città metropolitana di Genova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
