Sagrado comune,Sagrado comune.1
(IT) Sagrado (FUR) Segrât [1],(IT) Sagrado (FUR) Segrât [1]
,
Sagrado – Veduta,Sagrado – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Gorizia
Amministrazione,Amministrazione
Sindaco,Marco Vittori (centro-sinistra) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°52′46.68″N 13°30′51.98″E
Altitudine,32 m s.l.m.
Superficie,"13,94 km²"
Abitanti,2 135[2] (30-11-2025)
Densità,"153,16 ab./km²"
Frazioni,"Peteano /Petovlje, Poggio Terza Armata/Zdravščine, San Martino del Carso[3]"
Comuni confinanti,"Doberdò del Lago, Farra d'Isonzo, Fogliano Redipuglia, Gradisca d'Isonzo, Savogna d'Isonzo"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano, bisiaco, sloveno"
Cod. postale,34078
Prefisso,0481
Fuso orario,UTC+1
Codice ISTAT,031017
Cod. catastale,H665
Targa,GO
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 258 GG[5]"
Nome abitanti,sagradini
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Sagrado,Sagrado
Sagrado – MappaPosizione del comune di Sagrado nell'ex provincia di Gorizia,Sagrado – MappaPosizione del comune di Sagrado nell'ex provincia di Gorizia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
