Villa Castelli comune,Villa Castelli comune.1
,
Villa Castelli – Veduta,Villa Castelli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Giovanni Barletta (lista civica Diventerà bellissima) dal 30-5-2019 (2º mandato dal 9-6-2024)
Data di istituzione,1926
Territorio,Territorio
Coordinate,40°35′N 17°29′E
Altitudine,251 m s.l.m.
Superficie,"35,15 km²"
Abitanti,8 952[1] (30-11-2025)
Densità,"254,68 ab./km²"
Frazioni,"Monte Scotano, Pezza Petrosa, Antoglia, Battaglia, Sciaiani, Monte Fellone, San Barbato Lamie"
Comuni confinanti,"Grottaglie (TA), Martina Franca (TA), Francavilla Fontana, Ceglie Messapica"
Altre informazioni,Altre informazioni
Cod. postale,72029
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074020
Cod. catastale,L920
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,castellani
Patrono,Sacro cuore di Gesù e Madonna della Fontana
Giorno festivo,2 ottobre
Cartografia,Cartografia
Villa Castelli,Villa Castelli
Villa Castelli – MappaPosizione del comune di Villa Castelli nella provincia di Brindisi,Villa Castelli – MappaPosizione del comune di Villa Castelli nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
