Acate comune,Acate comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
"Acate – VedutaPiazza Libertà, 2003","Acate – VedutaPiazza Libertà, 2003"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Ragusa
Amministrazione,Amministrazione
Sindaco,Giovanni Francesco Fidone (lista Acate Punto a Capo) dal 29-5-2023
Territorio,Territorio
Coordinate,37°01′31.03″N 14°29′32.87″E
Altitudine,199 m s.l.m.
Superficie,"102,47[1] km²"
Abitanti,10 617[2] (30-11-2025)
Densità,"103,61 ab./km²"
Frazioni,Marina di Acate
Comuni confinanti,"Caltagirone (CT), Gela (CL), Mazzarrone (CT), Vittoria"
Altre informazioni,Altre informazioni
Cod. postale,97011
Prefisso,0932
Fuso orario,UTC+1
Codice ISTAT,088001
Cod. catastale,A014
Targa,RG
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 006 GG[4]"
Nome abitanti,acatesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Acate,Acate
Acate – MappaPosizione del comune di Acate nel libero consorzio comunale di Ragusa,Acate – MappaPosizione del comune di Acate nel libero consorzio comunale di Ragusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
