Codogno comune,Codogno comune.1
,
Codogno – VedutaLa chiesa parrocchiale di San Biagio e della Beata Vergine Immacolata,Codogno – VedutaLa chiesa parrocchiale di San Biagio e della Beata Vergine Immacolata
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Francesco Passerini (Lega Nord) dal 4-10-2021
Territorio,Territorio
Coordinate,45°09′36″N 9°42′18″E
Altitudine,58 m s.l.m.
Superficie,"20,87 km²"
Abitanti,15 664[1] (30-11-2025)
Densità,"750,55 ab./km²"
Frazioni,"Gattera Maiocca, Triulza"
Comuni confinanti,"Casalpusterlengo, Castelgerundo, Fombio, Maleo, San Fiorano, Somaglia, Terranova dei Passerini"
Altre informazioni,Altre informazioni
Cod. postale,26845
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098019
Cod. catastale,C816
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,codognesi[4]
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Codogno,Codogno
Codogno – MappaPosizione del comune di Codogno nella provincia di Lodi,Codogno – MappaPosizione del comune di Codogno nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
