Pieve Fissiraga comune,Pieve Fissiraga comune.1
,
Pieve Fissiraga – VedutaLa chiesa parrocchiale,Pieve Fissiraga – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Domenico Pedote (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°15′51″N 9°27′34″E
Altitudine,76 m s.l.m.
Superficie,"12,27 km²"
Abitanti,1 754[1] (30-11-2025)
Densità,"142,95 ab./km²"
Frazioni,"Cascina Andreola, Cascina Orgnaga, Pezzolo de' Codazzi, Cascina Triulzina"
Comuni confinanti,"Borgo San Giovanni, Cornegliano Laudense, Lodi, Lodi Vecchio, Massalengo, Sant'Angelo Lodigiano, Villanova del Sillaro"
Altre informazioni,Altre informazioni
Cod. postale,26854
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098045
Cod. catastale,G096
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 551 GG[3]"
Nome abitanti,pievesi
Patrono,Maria SS.ma Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Pieve Fissiraga,Pieve Fissiraga
Pieve Fissiraga – MappaPosizione del comune di Pieve Fissiraga nella provincia di Lodi,Pieve Fissiraga – MappaPosizione del comune di Pieve Fissiraga nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
