Castelnuovo Bocca d'Adda comune,Castelnuovo Bocca d'Adda comune.1
,
Castelnuovo Bocca d'Adda – VedutaMunicipio,Castelnuovo Bocca d'Adda – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Marcello Schiavi (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°06′42″N 9°51′53″E
Altitudine,49 m s.l.m.
Superficie,"20,33 km²"
Abitanti,1 540[1] (30-11-2025)
Densità,"75,75 ab./km²"
Frazioni,"Sant' Antonio, Brevia, Costa Gramignana, Bonissima"
Comuni confinanti,"Caselle Landi, Caorso (PC), Crotta d'Adda (CR), Maccastorna, Meleti, Monticelli d'Ongina (PC), Spinadesco (CR)"
Altre informazioni,Altre informazioni
Cod. postale,26843
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098013
Cod. catastale,C228
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,castelnovesi
Patrono,Natività di Maria
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Castelnuovo Bocca d'Adda,Castelnuovo Bocca d'Adda
Castelnuovo Bocca d'Adda – MappaPosizione del comune di Castelnuovo Bocca d'Adda nella provincia di Lodi,Castelnuovo Bocca d'Adda – MappaPosizione del comune di Castelnuovo Bocca d'Adda nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
