Campodolcino comune,Campodolcino comune.1
,
Campodolcino – VedutaCampodolcino fotografata da Starleggia,Campodolcino – VedutaCampodolcino fotografata da Starleggia
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Enrica Guanella (lista civica Campodolcino guarda avanti) dall'11-6-2017 (2º mandato dal 12-6-2022)
Data di istituzione,12 febbraio 1816
Territorio,Territorio
Coordinate,46°24′18.36″N 9°21′10.8″E
Altitudine,1 071 m s.l.m.
Superficie,"48,49 km²"
Abitanti,913[1] (30-11-2025)
Densità,"18,83 ab./km²"
Frazioni,"Acero, Corti, Fraciscio, Gualdera, Motta, Pietra, Portarezza, Prestone, Tini, Starleggia, Splughetta e Cà de Luc."
Comuni confinanti,"Madesimo, Mesocco (CH-GR), Piuro, San Giacomo Filippo"
Altre informazioni,Altre informazioni
Cod. postale,23021
Prefisso,0343
Fuso orario,UTC+1
Codice ISTAT,014012
Cod. catastale,B530
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 590 GG[3]"
Nome abitanti,campodolcinesi
Patrono,san Giovanni Battista e san Primo
Giorno festivo,24 giugno
Cartografia,Cartografia
Campodolcino,Campodolcino
Campodolcino – MappaPosizione del comune di Campodolcino nella provincia di Sondrio,Campodolcino – MappaPosizione del comune di Campodolcino nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
