Cino comune,Cino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Basilio Lipari (lista civica Un impegno concreto) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°10′06.19″N 9°29′00.62″E
Altitudine,504 m s.l.m.
Superficie,"5,07 km²"
Abitanti,338[1] (30-11-2025)
Densità,"66,67 ab./km²"
Comuni confinanti,"Cercino, Dubino, Mantello, Novate Mezzola"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014021
Cod. catastale,C709
Targa,SO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 004 GG[3]"
Nome abitanti,cinensi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Cino,Cino
Cino – MappaPosizione del comune di Cino nella provincia di Sondrio,Cino – MappaPosizione del comune di Cino nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
