Piuro comune,Piuro comune.1
,
Piuro – VedutaPanorama di Piuro.,Piuro – VedutaPanorama di Piuro.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Omar Iacomella (lista civica) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°19′50.52″N 9°25′18.12″E
Altitudine,408 m s.l.m.
Superficie,"84,25 km²"
Abitanti,1 921[1] (30-11-2025)
Densità,"22,8 ab./km²"
Frazioni,"Prosto, Crana, Sant'Abbondio, Dasile, Borgonuovo, Savogno, Santa Croce"
Comuni confinanti,"Avers (CH-GR), Bregaglia (CH-GR), Campodolcino, Chiavenna, Ferrera (CH-GR), Madesimo, Novate Mezzola, Prata Camportaccio, San Giacomo Filippo, Villa di Chiavenna"
Altre informazioni,Altre informazioni
Cod. postale,23020
Prefisso,0343
Fuso orario,UTC+1
Codice ISTAT,014050
Cod. catastale,G718
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 496 GG[3]"
Nome abitanti,piuraschi
Patrono,San Cassiano martire
Giorno festivo,13 agosto
Cartografia,Cartografia
Piuro,Piuro
Piuro – MappaPosizione del comune di Piuro nella provincia di Sondrio,Piuro – MappaPosizione del comune di Piuro nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
