Valfurva comune,Valfurva comune.1
,
Valfurva – Veduta,Valfurva – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Luca Ferdinando Bellotti (lista civica Esserci) dal 12-6-2022
Territorio,Territorio
Coordinate,46°27′45.36″N 10°24′42.43″E
Altitudine,1 339 m s.l.m.
Superficie,"215,02[1] km²"
Abitanti,2 435[2] (30-11-2025)
Densità,"11,32 ab./km²"
Frazioni,"Uzza, San Nicolò, Teregua, Madonna dei Monti (Paris - Adam - Canareglia - Plazzola - Taulanof - Fantelle - Plazzanecco - Noal - Cadalbert - Niblogo), Sant'Antonio, San Gottardo, Santa Caterina"
Comuni confinanti,"Bormio, Martello (BZ), Peio (TN), Ponte di Legno (BS), Sondalo, Stelvio (BZ), Valdisotto"
Altre informazioni,Altre informazioni
Cod. postale,23030
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014073
Cod. catastale,L576
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 971 GG[4]"
Nome abitanti,furić - forbasc'k
Patrono,san Nicolò - sant'Antonio
Cartografia,Cartografia
Valfurva,Valfurva
Valfurva – MappaPosizione del comune di Valfurva nella provincia di Sondrio,Valfurva – MappaPosizione del comune di Valfurva nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
