Sperone comune,Sperone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Adolfo Alaia (lista civica) dal 04-10-2021
Territorio,Territorio
Coordinate,40°57′12.6″N 14°36′22″E
Altitudine,175 m s.l.m.
Superficie,"4,7 km²"
Abitanti,3 626[1] (30-11-2025)
Densità,"771,49 ab./km²"
Comuni confinanti,"Avella, Baiano, Pannarano (BN), San Martino Valle Caudina, Sirignano, Summonte, Visciano (NA)"
Altre informazioni,Altre informazioni
Cod. postale,83020
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,064103
Cod. catastale,I893
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 325 GG[3]"
Nome abitanti,speronesi
Patrono,sant'Elia
Cartografia,Cartografia
Sperone,Sperone
Sperone – MappaIl comune di Sperone all'interno della provincia di Avellino,Sperone – MappaIl comune di Sperone all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
