Tufo comune,Tufo comune.1
,
Tufo – Veduta,Tufo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Nunzio Donnarumma (lista civica Tufo bene comune) dal 26-5-2014
Territorio,Territorio
Coordinate,41°00′45.43″N 14°49′04.22″E
Altitudine,280 m s.l.m.
Superficie,"5,96 km²"
Abitanti,759[1] (30-11-2025)
Densità,"127,35 ab./km²"
Frazioni,"San Paolo, Santa Lucia, Branete"
Comuni confinanti,"Altavilla Irpina, Petruro Irpino, Prata di Principato Ultra, Santa Paolina, Torrioni"
Altre informazioni,Altre informazioni
Cod. postale,83010
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064113
Cod. catastale,L461
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 452 GG[3]"
Nome abitanti,tufesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Tufo,Tufo
Tufo – MappaIl comune di Tufo all'interno della provincia di Avellino,Tufo – MappaIl comune di Tufo all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
