Avella comune,Avella comune.1
,
Avella – VedutaPanorama della città di Avella dal castello,Avella – VedutaPanorama della città di Avella dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Vincenzo Biancardi (lista civica Colomba) dal 2021
Territorio,Territorio
Coordinate,40°57′36″N 14°36′05″E
Altitudine,207 m s.l.m.
Superficie,"29,39 km²"
Abitanti,7 419[1] (30-11-2025)
Densità,"252,43 ab./km²"
Frazioni,Purgatorio
Comuni confinanti,"Baiano, Casamarciano (NA), Cervinara, Pannarano (BN), Roccarainola (NA), Rotondi, San Martino Valle Caudina, Sirignano, Sperone, Tufino (NA), Visciano (NA)"
Altre informazioni,Altre informazioni
Cod. postale,83021
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,064007
Cod. catastale,A508
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 500 GG[3]"
Nome abitanti,avellani
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Avella,Avella
Avella – MappaIl comune di Avella all'interno della provincia di Avellino,Avella – MappaIl comune di Avella all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
