Bisaccia comune,Bisaccia comune.1
,
Bisaccia – Veduta,Bisaccia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Marcello Antonio Arminio (lista civica Oltre l'orizzonte) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°00′47″N 15°22′32″E
Altitudine,860 m s.l.m.
Superficie,"102,16 km²"
Abitanti,3 421[1] (30-11-2025)
Densità,"33,49 ab./km²"
Frazioni,"Calaggio, Macchitella, Calli, Masseria di Sabato, Oscata, Pastina, Pedurza, Piani San Pietro, Piano Regolatore, Bisaccia Nuova"
Comuni confinanti,"Andretta, Aquilonia, Calitri, Guardia Lombardi, Lacedonia, Scampitella, Vallata"
Altre informazioni,Altre informazioni
Cod. postale,83044
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064011
Cod. catastale,A881
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 491 GG[3]"
Nome abitanti,bisaccesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno[4]
Cartografia,Cartografia
Bisaccia,Bisaccia
Bisaccia – MappaIl comune di Bisaccia all'interno della provincia di Avellino,Bisaccia – MappaIl comune di Bisaccia all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
