Bojano comune,Bojano comune.1
,
Bojano – VedutaPanorama di Bojano dalla frazione di Civita Superiore,Bojano – VedutaPanorama di Bojano dalla frazione di Civita Superiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Carmine Ruscetta (Benvenuta Bojano) dal 21-9-2020
Territorio,Territorio
Coordinate,41°29′N 14°28′E
Altitudine,482 m s.l.m.
Superficie,"52,63 km²"
Abitanti,7 514[1] (30-11-2025)
Densità,"142,77 ab./km²"
Frazioni,"Alifana, Campi Marzi, Cannello, Castellone, Chiovitti, Ciccagne, Civita Superiore, Codacchio, Colacci, Colalillo, Cucciolone, Fonte delle Felci, Imperato, Limpiilli, Majella, Malatesta, Monteverde, Mucciarone (disabitato), Pallotta, Pietre Cadute, Pinciere, Pitoscia, Pitti, Prusciello, Pulsone, Rio Freddo, Santa Maria dei Rivoli, Sant'Antonio Abate, Taddeo, Tavone e Tilli Tilli."
Comuni confinanti,"Colle d'Anchise, Macchiagodena (IS), Sant'Elena Sannita (IS) San Gregorio Matese (CE), San Massimo, San Polo Matese, Spinete"
Altre informazioni,Altre informazioni
Cod. postale,86021
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070003
Cod. catastale,A930
Targa,CB
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 962 GG[3]"
Nome abitanti,bojanesi
Patrono,san Bartolomeo apostolo
Giorno festivo,25 agosto
Cartografia,Cartografia
Bojano,Bojano
Bojano – MappaPosizione del comune di Bojano nella provincia di Campobasso,Bojano – MappaPosizione del comune di Bojano nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
