Goro comune,Goro comune.1
,
Goro – VedutaVeduta del porto,Goro – VedutaVeduta del porto
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ferrara
Amministrazione,Amministrazione
Sindaco,Maria Bugnoli (lista civica Insieme per unire) dal 4-10-2021
Territorio,Territorio
Coordinate,44°51′06.48″N 12°17′45.24″E
Altitudine,1 m s.l.m.
Superficie,"33,18 km²"
Abitanti,3 359[1] (30-11-2025)
Densità,"101,24 ab./km²"
Frazioni,Gorino
Comuni confinanti,"Ariano nel Polesine (RO), Codigoro, Mesola"
Altre informazioni,Altre informazioni
Cod. postale,44020
Prefisso,0533
Fuso orario,UTC+1
Codice ISTAT,038025
Cod. catastale,E107
Targa,FE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 269 GG[3]"
Nome abitanti,"goresi, goranti"
Patrono,Santa Maria delle Grazie
Cartografia,Cartografia
Goro,Goro
Goro – Mappa,Goro – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
