Ferrara comune,Ferrara comune.1
(dettagli),(dettagli)
Ferrara – VedutaCastello Estense,Ferrara – VedutaCastello Estense
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ferrara
Amministrazione,Amministrazione
Sindaco,Alan Fabbri (LSP) dall'11-6-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°50′21″N 11°37′03″E
Altitudine,9 m s.l.m.
Superficie,"405,16 km²"
Abitanti,129 097[1] (30-11-2025)
Densità,"318,63 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Argenta, Baricella (BO), Bondeno, Canaro (RO), Copparo, Ficarolo (RO), Gaiba (RO), Masi Torello, Occhiobello (RO), Ostellato, Poggio Renatico, Riva del Po, Stienta (RO), Tresignana, Vigarano Mainarda, Voghiera"
Altre informazioni,Altre informazioni
Cod. postale,44121–44124
Prefisso,0532
Fuso orario,UTC+1
Codice ISTAT,038008
Cod. catastale,D548
Targa,FE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 326 GG[3]"
Nome abitanti,"ferraresi, estensi"
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Ferrara,Ferrara
Ferrara – Mappa,Ferrara – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
