Feroleto Antico comune,Feroleto Antico comune.1
,
Feroleto Antico – VedutaIl borgo di Feroleto Antico,Feroleto Antico – VedutaIl borgo di Feroleto Antico
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Pietro Fazio (lista civica Feroleto Antico con noi) dal 4-10-2021
Territorio,Territorio
Coordinate,38°57′40″N 16°23′18″E
Altitudine,280 m s.l.m.
Superficie,"22,38 km²"
Abitanti,1 934[1] (30-11-2025)
Densità,"86,42 ab./km²"
Frazioni,"Cardolo, Galli, Giacinti, Jevoli, Marcantoni, Pedia, Polverini, Scalo Ferroviario, Vaiola"
Comuni confinanti,"Lamezia Terme, Maida, Pianopoli, Serrastretta"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079048
Cod. catastale,D544
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 295 GG[3]"
Nome abitanti,feroletani
Patrono,san Silvestro
Giorno festivo,31 dicembre
Cartografia,Cartografia
Feroleto Antico,Feroleto Antico
Feroleto Antico – MappaPosizione del comune di Feroleto Antico all'interno della provincia di Catanzaro,Feroleto Antico – MappaPosizione del comune di Feroleto Antico all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
